index,SMILES,RE(eV),HOMO-1(eV),HOMO(eV),LUMO(eV),LUMO+1(eV),E_0(hartree),E_0^-(hartree),E-(hartree),E_-^0(hartree),D_0 dipole moment(D),D_0^- dipole moment(D),D- dipole moment(D),D_-^0 dipole moment(D)
446,Fc1c(F)c(F)c(C=C(c2ncnc(-c3c4c(cc5cscc35)N=S=N4)n2)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,0.444614999,-7.093736216,-5.887183361,-3.78564802,-2.861005124,-3024.152539,-3024.245444,-3024.248344,-3024.1391,4.0706,8.451,6.7236,5.6741
447,CN1C(=O)C2=C(c3sc(C#N)c(C4CSc5cscc5S4)c3C#N)N(C)C(=O)C2=C1c1sc(C#N)cc1C#N,0.396322953,-6.393859368,-6.329640497,-4.069190662,-3.018559049,-3467.748102,-3467.855273,-3467.857919,-3467.736184,1.3637,6.4556,6.2153,1.3667
448,N#Cc1sc(-c2ncnc(-c3c(F)c(F)cc(F)c3F)n2)c(C#N)c1C1COc2nsnc2O1,0.499818738,-7.60014011,-6.91141993,-3.922793406,-2.978014084,-2456.408081,-2456.499736,-2456.503816,-2456.393793,5.7377,6.3342,6.1885,5.7158
449,CN1C(=O)C(=Cc2ccc3c(c2)sc2cc(-c4cnc(-c5c(C#N)csc5C#N)nc4)cc4ccn3c42)C(=O)N(C)C1=O,0.326702621,-6.876317242,-5.82786254,-3.215569484,-2.797874709,-2596.801273,-2596.874301,-2596.876899,-2596.791865,3.53,14.1027,14.8385,4.3688
450,c1ccc2[nH]c(-c3ccc4nc(-c5ccc6nc(-c7nc8ccc(-c9nc%10ccccc%10[nH]9)cc8o7)oc6c5)oc4c3)nc2c1,0.412004874,-6.184331696,-5.94351093,-2.893658787,-2.051466391,-1954.091672,-1954.156159,-1954.158584,-1954.078956,2.4733,4.4968,4.6067,2.8357
451,CC1(C)SC(=C(C#N)C#N)C(C#N)=C1[Si]1(c2cnc([Si]3(C4=C(C#N)C(=C(C#N)C#N)SC4(C)C)C=C4OCCOC4=C3)nc2)C=C2OCCOC2=C1,0.535816681,-6.625156149,-6.551685407,-3.387001215,-3.28441429,-3501.484318,-3501.563391,-3501.571184,-3501.47242,17.0317,24.6655,19.4907,14.9024
452,N#Cc1ccc2sc(-c3cc(F)cc4nsnc34)c(-c3onc(C4COc5nsnc5O4)c3C(=O)O)c2c1,0.542178703,-7.025163524,-6.922032371,-3.555711809,-2.675423472,-2880.817731,-2880.896011,-2880.899034,-2880.80083,6.7638,2.5487,1.6955,7.1422
453,O=C(O)c1conc1-c1c2c(c(-c3nocc3C(=O)O)c3cscc13)N=S=N2,0.458990774,-7.896744217,-6.383519042,-4.483892185,-2.393513513,-2079.916731,-2080.033573,-2080.034711,-2079.901002,1.452,1.5421,2.2858,2.1806
454,N#Cc1noc(C#N)c1C(=O)Oc1cnc(-c2ccnc(-c3ncc(OC(=O)c4c(C#N)noc4C#N)nn3)n2)nn1,0.348539759,-7.550615387,-7.343264626,-3.916262673,-3.745375169,-2058.288831,-2058.371869,-2058.372027,-2058.27618,5.0409,10.9557,11.2564,4.7747
456,CN1C(=O)C2=C(c3cc4c(s3)-c3sccc3C4=C(C#N)C#N)N(C)C(=O)C2=C1C(=O)O,0.449679038,-6.908426678,-5.829495223,-4.02810147,-3.340197632,-2122.447718,-2122.551829,-2122.553701,-2122.433065,7.6354,9.7926,9.1719,8.4679
457,CN1C=C2C(=O)N(C)C(C3=CC(=C(C#N)C#N)C=C(C4COc5nsnc5O4)O3)=C2C1=O,0.491347834,-7.012102058,-6.369913349,-3.901296411,-2.762499907,-1872.043891,-1872.141859,-1872.145822,-1872.029797,5.7976,8.7566,9.0992,6.4427
458,CN1C(=O)C2=C(c3ccc(C(=O)c4ccoc4C(=O)O)s3)N(C)C(=O)C2=C1c1ccc(C(=O)c2ccoc2C(=O)O)s1,0.493141064,-7.198772166,-6.326647245,-3.691224511,-2.80576601,-2734.686225,-2734.777924,-2734.781806,-2734.671984,0.0004,0.4422,0.4427,0.0002
459,CN1C(=O)C2=C(c3nccc(-n4ccccc4=O)n3)N(C)C(=O)C2=C1c1nccc(-n2ccccc2=O)n1,0.50161469,-6.378348878,-5.919020683,-3.369313815,-2.27840935,-1740.474568,-1740.554055,-1740.55943,-1740.461509,0.0002,0.2378,0.2374,0.0004
460,FC1=NC2C=CC=C(c3cnc(C=Cc4ccncn4)nc3)C2N=C1F,0.529283227,-7.177003058,-6.440390838,-2.895835698,-2.731751041,-1221.22789,-1221.282664,-1221.288721,-1221.214496,3.1149,7.4979,6.5282,3.0689
461,N#CC(C#N)=C1C=C(C(=O)C2=CC(=C(C#N)C#N)C=C(c3nc4ccccc4[nH]3)S2)SC(c2nc3ccccc3[nH]2)=C1,0.577825618,-6.806656094,-6.746518931,-4.114361563,-3.763878912,-2499.177176,-2499.285686,-2499.292209,-2499.162464,8.723,16.8933,23.2428,12.9202
462,N#Cc1ccc2sc(C#N)c(-c3cc4c(s3)-c3sc(-c5c(C#N)sc6ccc(C#N)cc56)cc3C43OCCO3)c2c1,0.520556535,-7.085028573,-5.986232806,-3.087403856,-2.708077135,-3150.588029,-3150.657437,-3150.662189,-3150.573651,2.4739,2.9005,1.9974,2.4987
463,Nc1ccc(-c2onc(-c3nc(F)c(-c4noc(-c5ccc(N)cc5)c4C(=O)O)c4nsnc34)c2C(=O)O)cc1,0.645832314,-6.003920207,-5.977797276,-3.259379815,-1.821258065,-2293.651818,-2293.719271,-2293.72714,-2293.635953,1.4812,4.6922,5.4265,2.315
464,Fc1ccc2nsnc2c1-c1ncnc(-c2cnc(C3COc4nsnc4O3)nn2)n1,0.349685358,-7.317141695,-6.745158362,-3.451220086,-3.181555251,-2207.989095,-2208.058587,-2208.060965,-2207.978622,6.7017,5.8866,6.1614,7.7863
465,N#CC(C#N)=C1C=C(c2c(C#N)sc(C(F)(F)F)c2C#N)SC(c2c(C#N)sc(C(F)(F)F)c2C#N)=C1,0.304661399,-8.691044575,-7.108158251,-4.026196673,-3.855037055,-2961.571437,-2961.670392,-2961.670606,-2961.560455,6.1159,10.8991,10.2259,5.3985
466,O=C(O)c1c(-c2nc3ccccc3s2)noc1C=Cc1ccnc(-c2onc(-c3nc4ccccc4s3)c2C(=O)O)n1,0.606925474,-6.576991996,-6.556583457,-3.264549978,-2.906992366,-2651.562443,-2651.633365,-2651.640139,-2651.546913,9.9095,11.808,11.721,10.3508
468,Cn1c(=O)c2cc(-c3nc4ccccc4o3)c3c(=O)n(C)c(=O)c4cc(C5=CC(=C(C#N)C#N)C=CO5)c(c1=O)c2c43,0.382709096,-7.00094539,-6.595495739,-4.303208582,-2.789167065,-1915.420196,-1915.535147,-1915.537812,-1915.408797,8.7829,9.0355,9.8406,8.8845
469,Cn1c(=C(C#N)C#N)sc(=Cc2cnc(-c3cnc(-c4nccnn4)nc3)nn2)c1=O,0.449004196,-7.175370374,-6.916045866,-4.046877326,-2.980735222,-1766.825981,-1766.926104,-1766.930574,-1766.81395,4.1432,13.3944,13.9225,5.4333
470,Cc1nc2csc(-c3ccc(C(=O)c4cocc4-c4cc5c(s4)-c4sccc4C5=C(C#N)C#N)s3)c2nc1C,0.382543107,-6.194944137,-5.791671396,-3.693401422,-2.927128792,-3075.567521,-3075.657036,-3075.65882,-3075.555247,9.0818,12.5745,13.1236,9.3401
471,O=C(c1cocc1C1COc2cscc2S1)c1sccc1-c1cnc(-c2ccsc2C(=O)c2ccoc2)nc1,0.598345724,-6.244468859,-6.033308504,-2.619368016,-2.22697983,-3154.865331,-3154.90987,-3154.916201,-3154.849672,4.0337,4.9431,4.0071,4.0836
473,Cn1c(=O)c2cc(-c3noc(C4COc5nsnc5O4)c3C(=O)O)c3c(=O)n(C)c(=O)c4cc(C(=O)O)c(c1=O)c2c43,0.464947347,-7.592793036,-6.995503113,-4.089871316,-2.389703919,-2459.941621,-2460.043571,-2460.047504,-2459.928467,2.3318,8.372,8.1806,2.4469
474,CN1C(=O)C2=C(c3noc(C4=C5C(=O)N(C)C(c6ccncn6)=C5C(=O)N4C)c3C(=O)O)N(C)C(=O)C2=C1c1ccncn1,0.284816135,-6.187324949,-6.131541607,-3.699387927,-3.522513918,-2097.672289,-2097.7634,-2097.764609,-2097.663032,0.8686,11.9516,12.7988,1.0478
475,N#CC(C#N)=C1c2cc(-c3noc(C(F)(F)F)c3C(=O)O)sc2-c2sc(-c3noc(C(F)(F)F)c3C(=O)O)cc21,0.482340865,-7.557962462,-6.516582719,-3.93857601,-2.755969174,-2906.456623,-2906.554324,-2906.555714,-2906.440288,7.8667,14.1275,13.2503,7.0653
476,N#CC(C#N)=C1C=COC(c2cocc2C(=O)c2ccc(-c3c(F)c(F)cc(F)c3F)s2)=C1,0.48538854,-7.178091513,-6.583522729,-3.070260682,-2.83814756,-2013.886033,-2013.946196,-2013.95103,-2013.87303,5.4787,3.0339,2.8598,6.2895
477,N#Cc1cnc(-c2c(F)c(F)c(-c3ccc(C(=C(c4ccccc4)c4ccc(-c5c(F)c(F)c(-c6ncc(C#N)s6)c(F)c5F)cc4)c4ccccc4)cc3)c(F)c2F)s1,0.305374337,-7.057817187,-6.075486152,-3.102098004,-3.029715717,-3578.947097,-3579.015943,-3579.016362,-3578.936293,9.9072,24.8403,22.9937,10.0345
478,c1ccc2[nH]c(-c3ncnc(-c4c5c(c(-c6ncnc(-c7nc8ccccc8[nH]7)n6)c6cscc46)N=S=N5)n3)nc2c1,0.584941396,-6.549508496,-6.006369232,-4.071367573,-2.53501272,-2528.746532,-2528.855868,-2528.862269,-2528.731436,0.1597,6.6944,6.2759,1.2508
479,N#Cc1cnc(-c2sc(C#N)c(-c3ccc(C(=O)c4cocc4-c4c(C#N)csc4C#N)s3)c2C#N)s1,0.473192397,-7.319862834,-7.199588508,-3.817757456,-3.105635484,-3027.816494,-3027.906439,-3027.911034,-3027.803699,1.2567,21.4407,21.9498,0.9818
480,N#CC(C#N)=C1C=COC(c2cnc(C3=CC(=C(C#N)C#N)C=C(C(=O)c4coc(-c5cc6sccc6s5)n4)O3)nc2)=C1,0.506368519,-6.772097634,-6.34814424,-3.978032519,-3.463737324,-2630.154474,-2630.256234,-2630.261171,-2630.140802,7.2068,11.2068,9.8702,5.6575
481,N#CC(C#N)=C1c2cc(-c3sc(C#N)cc3C#N)sc2-c2sc(-c3sc(C#N)cc3C#N)cc21,0.419447188,-7.716876956,-6.6752251,-4.5293352,-3.656121823,-2838.037624,-2838.161064,-2838.161893,-2838.023038,1.0992,4.0016,3.3557,0.6901
482,O=C(O)c1c(-c2cc(F)c(-c3csc(-n4ccccc4=O)c3C(=O)O)c3nsnc23)csc1-n1ccccc1=O,0.662548269,-6.40175067,-6.32555879,-2.715696323,-1.922484421,-2963.336932,-2963.384763,-2963.392702,-2963.320523,6.0808,5.6168,8.4266,7.4126
483,C[Si]1(C)C=C2OCCOC2=C1c1ccnc(-c2cc(F)cc3nsnc23)n1,0.423139773,-6.656449243,-5.863237341,-2.781819991,-2.084664281,-1851.868571,-1851.916474,-1851.919431,-1851.855978,5.6879,18.5649,17.7156,4.8932
484,O=C(c1nc2ccc(-c3cncn3C(=O)n3ccnc3)cc2o1)c1nc2ccc(-c3cncn3C(=O)n3ccnc3)cc2o1,0.496624121,-6.883120089,-6.783526416,-3.48605066,-2.480589948,-2038.290085,-2038.370576,-2038.375926,-2038.277184,2.4768,5.8406,4.503,2.8431
485,Cn1c(-c2c3c(c(-c4ncnc(-c5c6c(cc7cscc57)N=S=N6)n4)c4cscc24)N=S=N3)nc(C#N)c1C#N,0.355527643,-6.020791266,-5.867863277,-3.999529514,-3.72714354,-3152.943303,-3153.048262,-3153.049821,-3152.931796,8.978,13.7555,12.5193,7.5084
486,N#Cc1ccc2sc(-c3cc4c(-c5nc6sccc6s5)c5c(F)c(F)sc5nc4s3)c(-c3cc4c(-c5nc6sccc6s5)c5c(F)c(F)sc5nc4s3)c2c1,0.521024571,-6.394403596,-6.059431434,-2.939373916,-2.683859001,-5672.110381,-5672.178097,-5672.186563,-5672.099701,6.7253,5.5595,5.6779,6.2325
487,c1nc(-c2ccc3nc(-c4ncnc(C5COc6cscc6S5)n4)oc3c2)nc(C2COc3cscc3S2)n1,0.583730489,-6.039022895,-6.019702811,-3.280060468,-2.363308874,-3163.293051,-3163.362673,-3163.370261,-3163.279187,0.6255,4.1553,4.2015,0.9336
489,Cn1c(=O)c2c(-c3c(F)c(F)c(C4COc5nsnc5O4)c(F)c3F)c3c4cccc5c(C#N)ccc(c3c(-c3c(F)c(F)c(C6COc7nsnc7O6)c(F)c3F)c2c1=O)c54,0.32361685,-6.961216767,-6.958495628,-3.816669,-2.846855203,-3907.632649,-3907.728335,-3907.729286,-3907.621706,4.9498,10.4049,9.6248,3.6938
492,N#CC(C#N)=C1C=COC(c2sc(-c3oncc3C(=O)O)c3c2C(=O)c2c(C(F)(F)F)sc(C(F)(F)F)c2C3=O)=C1,0.483353128,-7.729666307,-6.759308282,-3.982658455,-3.834628515,-2928.555374,-2928.655346,-2928.658787,-2928.541052,7.5233,11.2453,12.7836,8.8337
493,N#Cc1ccc2sc(-c3cnc(-c4sc5ccc(C#N)cc5c4-n4ccccc4=O)nn3)c(-n3ccccc3=O)c2c1,0.576350761,-6.698082664,-6.356307656,-3.22590981,-2.790527634,-2520.301187,-2520.374968,-2520.384692,-2520.28973,5.9798,5.32,1.1049,5.1559
494,Fc1c(F)c(-c2nc3ccc(-c4ccncn4)cc3o2)c(F)c(F)c1-c1nc2ccc(-c3ccncn3)cc2o1,0.42587996,-7.104076543,-6.653728105,-3.237066479,-2.288205449,-1952.493343,-1952.569004,-1952.571537,-1952.480226,0,0.0978,0.0978,0
496,O=C(c1c(F)c(F)c(-c2nc3ccccc3[nH]2)c(F)c1F)c1c(F)c(F)c(-c2nc3ccccc3[nH]2)c(F)c1F,0.424723476,-6.598488991,-6.592502486,-3.237610706,-2.486304339,-2127.860544,-2127.93258,-2127.936611,-2127.848966,0.6742,3.4292,2.9925,0.5762
497,N#Cc1csc(-c2nc(F)c(-c3scc(C#N)c3C(=O)O)c3nsnc23)c1C(=O)O,0.554347634,-7.781640054,-7.155506063,-3.834356401,-2.541815566,-2519.257406,-2519.346936,-2519.352628,-2519.242727,0.4324,2.2387,2.0115,1.2347
498,N#Cc1c(F)cc(C=c2ccc(=c3ccc(=Cc4cc(F)c(C#N)c5nsnc45)s3)s2)c2nsnc12,0.397204601,-7.088838167,-5.908408242,-4.187015964,-3.432172116,-3040.183825,-3040.303187,-3040.304253,-3040.170294,0.0004,0.0597,0.0593,0.0003
499,Cn1c(=O)c2c(-c3oncc3C(=O)O)c3c4cccc5cccc(c3c(-c3onc(-n6ccccc6=O)c3C(=O)O)c2c1=O)c54,0.375174263,-6.599305333,-6.474132957,-3.036790678,-2.545897274,-2125.026828,-2125.091423,-2125.094423,-2125.01604,3.0582,8.1397,7.1358,2.8792
500,Cc1nc2c(-c3csc(C(F)(F)F)c3C(=O)O)sc(-c3csc(C(F)(F)F)c3C(=O)O)c2nc1C,0.579319523,-7.258092988,-6.338892369,-2.869440654,-1.926294015,-2972.250239,-2972.305841,-2972.312611,-2972.235719,7.8217,3.5757,5.1108,8.9274
501,O=C1c2ccccc2C(=O)N1c1nc2ccc(-c3cnc(-c4ccc5ncoc5c4)nc3)cc2o1,0.491105652,-7.018088563,-6.393043027,-2.961415138,-2.231061538,-1573.239615,-1573.2878,-1573.294739,-1573.228507,5.7368,23.0703,21.4169,6.8572
503,N#CC(C#N)=C1C=CSC(c2ncnc(-c3cc4c(=O)[nH]c(=O)c5ccc6c(=O)[nH]c(=O)c3c6c54)n2)=C1,0.440565945,-7.590888239,-6.728015189,-4.107286603,-3.654761254,-2040.441463,-2040.543405,-2040.54765,-2040.429518,6.8456,11.6828,10.8202,6.9214
504,Cn1c(=O)c2cc(-c3cocc3C(=O)c3sccc3-n3ccccc3=O)c3c(=O)n(C)c(=O)c4cc(-c5cocc5C(=O)c5sccc5-n5ccccc5=O)c(c1=O)c2c43,0.497679923,-6.287462849,-6.272224473,-3.326864052,-2.240857637,-3458.742785,-3458.822141,-3458.828294,-3458.730648,0.0005,0.109,0.1107,0.0009
505,FC1=NC2C=CC=C(c3cc4c(C5=CC=CC6N=C(F)C(F)=NC56)c5c(F)c(F)sc5nc4s3)C2N=C1F,0.600794749,-6.594679397,-6.243380404,-2.733655838,-2.594333541,-2628.346805,-2628.398063,-2628.405796,-2628.33246,1.9383,4.5877,5.2099,3.6414
506,C[Si]1(C)C(c2noc(-n3ccccc3=O)c2C(=O)O)=C2OCCOC2=C1c1noc(-n2ccccc2=O)c1C(=O)O,0.402113535,-6.553862318,-5.856706609,-2.148066811,-2.123848677,-2263.449668,-2263.470344,-2263.476178,-2263.440725,5.2293,5.4571,4.1608,3.5448
507,N#CC(C#N)=C1C=C(c2sc3ccc(C#N)cc3c2C#N)OC(c2sc3ccc(C#N)cc3c2C#N)=C1,0.269550547,-7.608847753,-7.042306697,-3.997896831,-3.597889457,-2271.758626,-2271.863663,-2271.86392,-2271.748977,2.288,3.0488,2.896,2.1499
508,N#CC(C#N)=C1C=COC([Si]2(C3=CC(=C(C#N)C#N)C=CO3)c3ccsc3-c3sccc32)=C1,0.30463963,-6.895093099,-6.474405071,-3.161963053,-3.127404593,-2375.722343,-2375.790668,-2375.791753,-2375.712233,1.1097,2.149,1.107,0.3057
509,CN1C(=O)C(=Cc2c(F)c(F)c(-c3ccc(C(=O)c4cocc4-c4c(F)c(F)c(C=C5SC(=S)N(C)C5=O)c5nsnc45)s3)c3nsnc23)SC1=S,0.395245382,-6.684749085,-6.443928319,-3.78211054,-3.598977912,-5004.566578,-5004.662627,-5004.666826,-5004.556252,2.4484,5.483,7.8877,4.0522
510,Cc1oc(=O)c2ccccc2c1-c1ncnc(-c2ncnc(-c3ncnc(-c4c(C)oc(=O)c5ccccc45)n3)n2)n1,0.513345518,-6.599033219,-6.544066219,-3.505370745,-3.083866375,-1908.960413,-1909.03405,-1909.040124,-1908.947621,6.4037,4.6254,3.9575,7.117
511,N#CC(C#N)=C1C=C(c2c(F)c(F)c(-c3ccncn3)c(F)c2F)OC(c2c(F)c(F)c(-c3ccncn3)c(F)c2F)=C1,0.404241466,-7.823273475,-6.838221302,-3.495846759,-3.156248662,-2274.171254,-2274.253592,-2274.255883,-2274.15869,7.6763,14.979,12.7492,6.7701
513,C(=Cc1ccncn1)c1cnc(-c2nccnn2)nc1,0.551286354,-6.951148554,-6.77890048,-2.980190995,-2.392152943,-883.9456694,-883.9996544,-884.0076063,-883.9333619,1.3202,2.9972,0.84,0.7227
514,N#CC(C#N)=C1C=C(c2ncnc(-c3nc4sccc4s3)n2)OC(c2ncnc(-c3nc4sccc4s3)n2)=C1,0.398625036,-6.81481951,-6.689102907,-3.616121086,-3.355436008,-3134.746748,-3134.834648,-3134.838191,-3134.735642,12.599,21.8273,21.5578,11.8516
515,FC(F)(F)c1ncnc(C=c2ccc(=c3ccc(=Cc4ncnc(C(F)(F)F)n4)s3)s2)n1,0.584701936,-7.657828248,-6.034396959,-4.012046752,-2.699097377,-2414.672144,-2414.778266,-2414.784221,-2414.656611,0,0.3605,0.3605,0
516,N#Cc1cnc(-c2sc(-c3ccc(C(=O)c4cocc4-c4sc(-c5ncc(C#N)s5)c5c4OCCS5)s3)c3c2SCCO3)s1,0.360518211,-6.261067805,-6.039567123,-3.097472068,-3.019103277,-4420.605636,-4420.675048,-4420.676883,-4420.594223,6.845,15.8163,15.427,6.2001
519,N#Cc1sc(C(=O)c2sc(C#N)c(-c3nc4ccsc4s3)c2C#N)c(C#N)c1-c1nc2ccsc2s1,0.501650064,-6.79577154,-6.781621619,-3.95762398,-3.195977286,-3671.570471,-3671.668955,-3671.6744,-3671.557481,3.234,11.3123,11.6215,3.1215
522,N#Cc1ccc2sc(-c3c(C#N)sc(C4CSc5cscc5S4)c3C#N)c(-c3c(C#N)csc3C#N)c2c1,0.47864828,-6.538351828,-6.432499537,-3.13774492,-2.920325946,-3697.038599,-3697.105904,-3697.110936,-3697.026041,6.7125,8.8441,10.0847,5.9604
523,N#Cc1ccc2sc(C3=CC=CC4N=C(F)C(F)=NC34)c(-c3c(F)ccc4nsnc34)c2c1,0.634607617,-7.036592306,-6.634952248,-2.882774233,-2.663178348,-2252.036551,-2252.085844,-2252.098894,-2252.02628,5.9572,13.924,9.6331,4.5445
529,CN1C(=O)C(=Cc2ccc3c(c2)N(C)C(=O)C3=C2C(=O)N(C)c3cc(-c4ccnc(C(F)(F)F)n4)ccc32)C(=O)N(C)C1=O,0.524058641,-6.666245342,-6.353042289,-3.857758193,-2.773112347,-2160.059511,-2160.161895,-2160.166394,-2160.044751,4.3709,3.466,3.8316,4.6245
530,CN1C(=O)C(=Cc2cc3c(-c4ccnc(-c5nc6ccccc6o5)n4)c4c(F)c(F)sc4nc3s2)C(=O)N(C)C1=O,0.525209682,-6.856997158,-6.613999481,-3.458567161,-2.563856789,-2662.770093,-2662.8533,-2662.85878,-2662.756272,2.3548,9.3618,8.1901,3.1481
536,N#Cc1ccc2sc(-c3cocc3C(=O)c3sccc3C#Cc3sc(C#N)c(F)c3F)c(-c3cocc3C(=O)c3sccc3C#Cc3sc(C#N)c(F)c3F)c2c1,0.615989587,-6.936726519,-6.485833853,-3.218562736,-2.957061317,-4424.169891,-4424.238931,-4424.249874,-4424.158198,3.2539,9.1517,5.0287,5.7576
537,N#CC(C#N)=C1c2cc(-c3ccncn3)sc2-c2sc(-c3ccncn3)cc21,0.406459194,-7.543812541,-6.397941076,-4.053408059,-2.808215035,-1891.712275,-1891.814884,-1891.816499,-1891.698953,7.653,10.4492,10.2507,7.5242
538,N#Cc1sc(C=Cc2ccnc(-c3sc(C#N)c4c3OCCS4)n2)c2c1SCCO2,0.46373644,-6.411274655,-6.291272443,-2.934475866,-2.405486522,-2731.444455,-2731.505967,-2731.510294,-2731.43174,8.8993,5.5913,5.6319,9.3767
540,O=C(O)c1noc(-c2ccc3c(c2)sc2cc(-c4onc(C(=O)O)c4C(=O)O)cc4ccn3c42)c1C(=O)O,0.530118616,-7.069518083,-6.001199068,-2.822092842,-2.391880829,-2235.832883,-2235.885716,-2235.891101,-2235.818787,2.0171,9.0128,10.8892,2.9801
541,N#CC(C#N)=C1C=CSC(c2nccc(-c3c(F)c(F)cc(F)c3F)n2)=C1,0.470419557,-7.632249545,-6.404199695,-3.358157146,-2.782908446,-1706.011668,-1706.084948,-1706.089165,-1705.998597,9.3105,14.3442,14.3421,9.5517
542,Fc1cc(F)c(F)c(-c2ncnc(-c3c(F)c(F)c(C=C4Sc5ccccc5S4)c(F)c3F)n2)c1F,0.685536447,-7.106797682,-5.880380515,-2.743451937,-2.394329854,-2639.999573,-2640.049601,-2640.058528,-2639.983308,3.666,9.0138,6.9091,5.0627
543,O=C(c1cocc1-c1sc(-c2cocc2C(=O)c2sccc2-c2ccncn2)c2c1C(=O)c1c(C(F)(F)F)sc(C(F)(F)F)c1C2=O)c1sccc1-c1ccncn1,0.665963298,-6.997680024,-6.59767265,-3.189174439,-3.142915083,-4318.593575,-4318.663222,-4318.679335,-4318.585215,1.0075,1.8361,1.9577,3.0488
544,O=C(O)c1nccc([Si]2(c3ccnc(C(=O)O)n3)c3ccsc3-c3sccc32)n1,0.639696147,-7.520954977,-6.156303969,-2.698825263,-2.575557685,-2297.701386,-2297.741744,-2297.753152,-2297.689286,5.7024,8.7739,4.0785,4.5599
545,CN1C(=O)C2=C(c3scc4c3SCCS4)N(C)C(=O)C2=C1c1cnc(C2COc3nsnc3O2)nn1,0.355168452,-6.366375869,-5.966640608,-3.566868477,-2.662362006,-3086.05666,-3086.14361,-3086.145916,-3086.045914,7.4509,5.34,6.6987,8.0147
546,Fc1nc(-c2cnc(C(F)(F)F)nc2)c2nsnc2c1-c1cnc(C(F)(F)F)nc1,0.408630662,-8.064094241,-7.587622872,-4.357087126,-2.811752515,-2054.397164,-2054.503162,-2054.504417,-2054.383402,3.4278,1.4208,0.7846,3.8421
548,O=C1c2c(-c3nc4ccccc4o3)sc(-c3c(F)c(F)cc(F)c3F)c2C(=O)c2c(C(F)(F)F)sc(C(F)(F)F)c21,0.395756956,-7.267344859,-6.844207807,-3.489860255,-3.428634636,-3030.957575,-3031.037379,-3031.038838,-3030.944491,2.3642,4.664,4.6571,2.8248
550,CN1C(=O)C(=Cc2ccc3nc(-c4ccc(C(=O)c5cocc5-c5ccc6ncoc6c5)s4)oc3c2)C(=O)N(C)C1=O,0.478904067,-6.621618669,-6.534814348,-3.356524463,-2.661273551,-2297.772561,-2297.850035,-2297.853641,-2297.758567,1.1051,6.4693,4.7449,1.368
551,O=C(c1ccoc1)c1ccc(-c2cnc(-c3scc4c3OCCS4)nc2)s1,0.447907577,-6.06759485,-5.900244826,-2.594877769,-1.71377309,-2260.895421,-2260.941484,-2260.946838,-2260.884315,1.8481,5.955,6.0579,2.4553
552,FC(F)(F)c1ccnc(-c2sc(-c3nccc(C(F)(F)F)n3)c3c2SCCS3)n1,0.445918425,-6.16065779,-5.950858004,-2.770663323,-2.180720474,-2627.195684,-2627.248827,-2627.25263,-2627.183099,2.4602,0.6046,0.765,2.3085
554,CC1(C)SC(=C(C#N)C#N)C(C#N)=C1c1ncnc(C(=O)c2ncnc(C3=C(C#N)C(=C(C#N)C#N)SC3(C)C)n2)n1,0.602990708,-7.668168575,-6.99033295,-4.778319382,-4.021026509,-2565.70154,-2565.828779,-2565.83613,-2565.686731,18.7205,12.1337,12.972,19.6773
555,C[Si]1(C)c2cc(-c3c(F)c(F)c(C#N)c(F)c3F)sc2-c2sc(-c3c(F)c(F)c(C#N)c(F)c3F)cc21,0.442859865,-7.717693297,-6.330456839,-3.416661626,-2.70209063,-2913.443077,-2913.524964,-2913.526972,-2913.428811,5.5213,9.2155,9.3559,5.5645
556,N#Cc1csc(C#N)c1-c1ncc(-c2cc3cc4c(F)c(F)sc4nc3s2)cn1,0.433055602,-6.914685296,-6.677946238,-3.166316875,-2.425350834,-2394.962911,-2395.029951,-2395.034979,-2394.952024,1.4456,6.4333,6.0582,1.3162
557,Cn1c(=O)c2cc(-c3scc4c3SCCO4)c3c(=O)n(C)c(=O)c4cc(-c5scc6c5OCCS6)c(c1=O)c2c43,0.383726802,-5.998750044,-5.880380515,-3.54455514,-1.880034659,-3231.426186,-3231.514265,-3231.518868,-3231.416687,3.7158,6.5861,6.1174,3.3207
558,c1cc2sc(-c3ncc(-c4sc(-c5cnc(-c6nc7sccc7s6)nn5)c5c4OCCS5)nn3)nc2s1,0.304011047,-6.437125472,-5.987865489,-3.121962316,-2.400860587,-3746.565447,-3746.638094,-3746.63942,-3746.555601,3.1513,4.6473,4.5316,3.0345
559,CN1C(=O)C2=C(C3COc4nsnc4O3)N(C)C(=O)C2=C1C1COc2nsnc2O1,0.652765775,-7.005299212,-6.617536961,-3.430539433,-1.872143357,-2193.079364,-2193.152584,-2193.156181,-2193.058973,0.0001,0.4829,0.4829,0.0002
560,c1cc(-c2ncc(-c3c4c(c(-c5cnc(-c6ccncn6)nc5)c5cscc35)N=S=N4)cn2)ncn1,0.324607345,-7.116593781,-5.86949596,-3.8991195,-2.548074185,-2265.563732,-2265.66356,-2265.663723,-2265.551966,3.1986,3.076,2.6722,3.4698
561,N#CC(C#N)=C1c2ccsc2-c2sc(-c3ccnc(-c4ccc5nc(C6COc7nsnc7O6)oc5c4)n3)cc21,0.424143874,-6.742165109,-6.437397586,-3.989189188,-2.597326794,-2838.863735,-2838.962666,-2838.964471,-2838.849953,10.0191,18.3616,16.9945,10.8934
