index,SMILES,RE(eV),HOMO-1(eV),HOMO(eV),LUMO(eV),LUMO+1(eV),E_0(hartree),E_0^-(hartree),E-(hartree),E_-^0(hartree),D_0 dipole moment(D),D_0^- dipole moment(D),D- dipole moment(D),D_-^0 dipole moment(D)
27,O=C(O)c1cc(F)c([Si]2(c3c(F)cc(C(=O)O)c4nsnc34)c3ccsc3-c3sccc32)c2nsnc12,0.331206106,-7.141628256,-5.7799705,-3.387817557,-3.309992993,-3445.003997,-3445.077102,-3445.077105,-3444.991828,0.5888,4.9509,4.3898,0.2119
28,Fc1cc(F)c(F)c(-c2ncc(-c3c(F)c(F)c(C4CSc5cscc5S4)c(F)c3F)cn2)c1F,0.575912658,-6.29671472,-6.165827954,-2.69719258,-2.042486633,-2945.930835,-2945.977419,-2945.98362,-2945.915872,2.1965,7.5271,8.6736,1.6417
29,O=C(O)c1cocc1C(=O)c1ccc([SiH]2C=C3OCCOC3=C2)s1,0.586367272,-6.891011391,-6.105962905,-2.28194683,-1.613090962,-1755.876041,-1755.903198,-1755.909776,-1755.861071,4.7005,13.4228,12.7741,4.2456
30,CN1C(=O)C2=C(c3sc(C#N)c(C4=C(C#N)C(=C(C#N)C#N)SC4(C)C)c3C#N)N(C)C(=O)C2=C1c1sc(C#N)c(C2=C(C#N)C(=C(C#N)C#N)SC2(C)C)c1C#N,0.462590841,-7.437143908,-7.091015078,-4.69505254,-3.859118763,-3935.02027,-3935.153236,-3935.157322,-3935.007355,0.0005,0.4047,0.4055,0.0018
32,N#Cc1ncc(C=c2ccc(=c3ccc(=Cc4cnc(C#N)nn4)s3)s2)nn1,0.448449084,-7.446123665,-6.109228271,-4.234363775,-3.146452563,-1924.886583,-1925.001875,-1925.005654,-1924.873881,0.0007,0.3719,0.3723,0.0004
34,Cn1c(-c2ccc3c(c2)NC(=O)C3=c2ccc(=c3ccc(=C4C(=O)Nc5cc(-c6nc(C#N)c(C#N)n6C)ccc54)s3)s2)nc(C#N)c1C#N,0.448364728,-6.786247555,-5.970450202,-4.177491979,-2.78807861,-2876.908748,-2877.030278,-2877.033848,-2876.895841,0.0006,0.112,0.1125,0
35,CN1C(=O)C2=C(c3ncc(C(=O)O)nn3)N(C)C(=O)C2=C1c1ncc(C(=O)O)nn1,0.532072394,-7.274964047,-6.149229008,-3.994903579,-3.089036539,-1504.995151,-1505.09307,-1505.098422,-1504.980949,0.494,0.4531,0.4687,0.4588
36,FC(F)(F)c1ncc(-c2ccc3c(c2)sc2cc(-c4cnc(C(F)(F)F)nc4)cc4ccn3c42)cn1,0.471761078,-7.064620033,-6.001743296,-2.586714353,-2.272150731,-2192.219443,-2192.262081,-2192.267753,-2192.207778,6.4702,10.9228,13.6243,6.7315
37,O=C(O)c1c(C(F)(F)F)noc1-c1sc2c(sc3c(F)c(-c4onc(C(F)(F)F)c4C(=O)O)sc32)c1F,0.63313276,-7.299454295,-6.873868217,-3.402783819,-2.574197116,-3241.276087,-3241.352691,-3241.357254,-3241.257382,2.4357,3.1974,3.267,2.3831
38,N#Cc1ccc2sc(C(=Cc3ccc(C(=O)O)cc3)c3ccc(C(=O)O)cc3)c(C3=CC=CC4N=C(F)C(F)=NC34)c2c1,0.633285144,-6.844479921,-6.423519779,-2.880869436,-2.633245823,-2331.921947,-2331.982433,-2331.989708,-2331.905949,6.612,1.7923,2.0544,6.2638
39,O=c1[nH]c(=O)c2c(-c3ncnc(-c4cc5c(=O)[nH]c(=O)c6c(-n7ccccc7=O)cc7c(=O)[nH]c(=O)c4c7c56)n3)cc3c(=O)[nH]c(=O)c4c(-n5ccccc5=O)cc1c2c34,0.29436461,-6.492092472,-6.462432061,-4.089054974,-4.080347331,-2817.759551,-2817.86489,-2817.865252,-2817.749095,3.9445,6.2723,3.8456,3.2687
40,Cn1c(=O)c2cc(C(F)(F)F)c3c(=O)n(C)c(=O)c4cc(-c5sc6sc7scc(C#N)c7c6c5C#N)c(c1=O)c2c43,0.403996563,-7.088293939,-6.878494153,-4.186199622,-2.560047195,-3048.336376,-3048.444373,-3048.446967,-3048.324123,8.3907,10.9928,11.1775,8.4039
41,N#CC(C#N)=C1C=COC(c2ncnc(-c3ccc4ncoc4c3)n2)=C1,0.553221083,-7.348162675,-6.743525679,-3.49802367,-2.83814756,-1169.601335,-1169.679263,-1169.685747,-1169.587488,8.7433,17.1006,17.5991,8.257
43,Fc1cc2nsnc2c(-c2ccnc(-c3cncnn3)n2)c1F,0.549226452,-7.432517972,-6.728287302,-3.412035691,-2.585353784,-1479.440652,-1479.506803,-1479.511334,-1479.424999,5.1902,5.6689,3.8668,6.2842
44,O=C(c1ccc(-c2ncc(-c3nc4sccc4s3)nn2)s1)c1cocc1-c1nccnn1,0.393541949,-6.955230262,-6.423519779,-3.143459311,-2.57800671,-2495.660264,-2495.726787,-2495.729496,-2495.648511,4.5093,6.5146,5.7167,4.7419
47,CN1C(=O)C2=C(c3c4sc5cc(C=O)sc5c4cc4sc5cc(C=O)sc5c34)N(C)C(=O)C2=C1c1c2sc3cc(C=O)sc3c2cc2sc3cc(C=O)sc3c12,0.347554707,-6.49127613,-6.205556577,-3.439791304,-3.235978023,-5280.180113,-5280.26513,-5280.268319,-5280.17053,0.001,0.8992,0.8982,0.0003
49,O=C1c2c(C3=CC=CC4N=C(F)C(F)=NC34)sc(C(F)(F)F)c2C(=O)c2c(C(F)(F)F)sc(C(F)(F)F)c21,0.459039755,-7.955792925,-7.030061573,-3.589453927,-3.447410492,-2957.889864,-2957.968153,-2957.971674,-2957.876515,5.0072,9.3257,9.2024,5.0232
50,Cc1c(-c2sc(C#N)c(-c3ncc(-c4c(C#N)csc4C#N)cn3)c2C#N)nc2ncccn12,0.481992559,-7.162308909,-6.615904278,-3.135840123,-2.739370229,-2170.878409,-2170.941791,-2170.956585,-2170.875489,4.3362,14.5362,14.131,6.8813
52,Fc1c(F)c(C=Cc2ccncn2)c(F)c(F)c1C=Cc1ccncn1,0.429262335,-7.382449022,-6.627877288,-3.221011761,-2.184530068,-1310.246739,-1310.316975,-1310.320135,-1310.234125,0.0004,0.953,0.9531,0
53,N#CC(C#N)=C1C(=CC=C2Sc3ccccc3N2[Si]2(c3cnc(C#N)nc3)C=C3OCCOC3=C2)C(=O)c2ccccc21,0.452171601,-6.746791045,-5.984872237,-3.114615242,-2.702906971,-2471.959645,-2472.034228,-2472.039964,-2471.948764,10.4566,15.5232,14.2719,10.2426
54,Fc1csc2c1sc1c(F)c(-c3ncnc([Si]4(C5COc6nsnc6O5)C=C5OCCOC5=C4)n3)sc12,0.471586925,-6.27412927,-6.185692266,-2.578550937,-2.011737767,-3463.336699,-3463.382696,-3463.38637,-3463.323042,7.34,18.6203,17.5708,5.7873
56,Fc1sc2nc3sc(-c4ccc5nc(-c6cc7cc8c(F)c(F)sc8nc7s6)oc5c4)cc3cc2c1F,0.384739066,-6.507602962,-6.218345929,-2.816922679,-2.08738542,-3188.446322,-3188.505443,-3188.508462,-3188.435202,1.9716,7.9691,6.2659,2.2595
58,C[Si]1(C)c2cc(-c3ncc(C(F)(F)F)nn3)sc2-c2sc(-c3ncc(C(F)(F)F)nn3)cc21,0.476767973,-7.29700527,-6.269231221,-3.355980235,-2.886311713,-2705.347811,-2705.423073,-2705.425598,-2705.332815,4.2545,7.1248,7.5713,4.5793
60,C[Si]1(C)C(c2c(F)c(F)c(C#N)c3nsnc23)=C2OCCOC2=C1c1c(F)c(F)c(C#N)c2nsnc12,0.444625884,-7.291835106,-6.386784408,-3.667278491,-3.40496073,-2808.476284,-2808.563595,-2808.565743,-2808.462093,2.1472,4.863,4.5267,1.8455
62,O=C(O)c1cnoc1-c1ncnc(-c2onc(C3COc4nsnc4O3)c2C(=O)O)n1,0.670314398,-8.219743369,-7.000673276,-3.608229784,-3.182643707,-1958.957759,-1959.032503,-1959.038409,-1958.939032,2.192,7.4327,4.5947,3.5678
63,CC1(C)c2cc3c(cc2-c2sc(-c4ccnc(C#N)n4)cc21)C(C)(C)c1cc(-c2ccnc(C#N)n2)sc1-3,0.331200664,-7.055096048,-5.980790529,-3.117608494,-2.558958739,-2280.014621,-2280.086152,-2280.088312,-2280.004609,0,0,0,0
64,O=C(O)c1cnoc1-c1ccnc(-c2c3c(cc4cscc24)N=S=N3)n1,0.467878013,-7.358775116,-5.813984733,-3.711088823,-2.559230853,-1909.620501,-1909.708271,-1909.720133,-1909.615168,5.4137,6.292,6.1717,7.9685
66,O=C(c1ccoc1)c1sccc1-c1ncnc(-c2cc3c(s2)-c2sccc2[Si]3(c2ccccc2)c2ccccc2)n1,0.333783024,-6.67876258,-5.830583678,-2.525760849,-2.181264702,-3029.52333,-3029.570645,-3029.57116,-3029.511579,2.6802,9.5172,12.8039,2.2142
69,N#Cc1ncnc(C(=O)c2cc3sc4cc5c(cc4c3s2)sc2cc(C(=O)c3ncnc(C#N)n3)sc25)n1,0.288331846,-6.769648609,-6.458622467,-3.92170495,-3.731497362,-3099.276902,-3099.372503,-3099.374216,-3099.268018,0.0015,0.4378,0.4375,0.0014
71,N#Cc1ccc2sc(-c3cc(F)c(-c4cc5cc(C#N)ccc5s4)c4nsnc34)cc2c1,0.282924944,-6.898358465,-6.368008552,-3.629454665,-2.246572028,-2433.328242,-2433.416957,-2433.417109,-2433.317997,4.1576,5.9754,5.9103,4.0354
72,CN1C(=O)C2=C(c3nc(F)c(C4=C5C(=O)N(C)C(C#N)=C5C(=O)N4C)c4nsnc34)N(C)C(=O)C2=C1C#N,0.446851775,-6.661347293,-6.378620992,-4.513008368,-3.526867739,-2175.269755,-2175.394403,-2175.398008,-2175.256938,3.2523,2.7799,2.3046,3.6885
73,CN1C(=O)C(=C2C(=O)N(C)c3cc(-c4ncncn4)ccc32)c2ccc(-c3cnc(-c4ccc5c(c4)N(C)C(=O)C5=C4C(=O)N(C)c5cc(-c6ncncn6)ccc54)nc3)cc21,0.297771476,-6.201474869,-5.951674346,-3.552446442,-3.335571696,-2728.865536,-2728.957564,-2728.958233,-2728.855263,2.8948,9.1577,11.938,2.7206
74,CN1C(=O)C2=C(C(F)(F)F)N(C)C(=O)C2=C1c1cc2c(C3COc4nsnc4O3)c3c(F)c(F)sc3nc2s1,0.377375664,-6.720396,-6.270863904,-3.663468897,-2.428888314,-3112.781246,-3112.872183,-3112.873813,-3112.769007,4.4334,4.8993,5.0393,5.4745
75,FC(F)(F)c1ccc2nc(-c3sc(-c4nc5ccc(C(F)(F)F)cc5o4)c4c3SCCS4)oc2c1,0.493742436,-6.44964271,-6.241747721,-2.958694,-1.717582684,-2898.000618,-2898.066079,-2898.0688,-2897.985194,3.3157,3.9688,4.1034,3.1625
76,N#CC(C#N)=C1C=C(c2cnc(C(F)(F)F)nn2)SC(c2cnc(C(F)(F)F)nn2)=C1,0.439618989,-8.171307102,-7.214010542,-4.335590131,-3.989461301,-2047.252824,-2047.361617,-2047.364627,-2047.239678,6.706,11.0562,10.4333,6.1824
77,Cc1nc2c(-c3c(F)c(F)c(C(F)(F)F)c(F)c3F)sc(-c3c(F)c(F)c(C(F)(F)F)c(F)c3F)c2nc1C,0.574750732,-7.56911913,-6.840670327,-3.320061206,-2.266708454,-2747.502788,-2747.575832,-2747.580008,-2747.485842,3.9148,4.0336,5.3266,4.2931
78,N#Cc1cc(C#N)c(-c2nccc(-c3nccc(C=CC4COc5nsnc5O4)n3)n2)s1,0.527841023,-7.167479072,-6.624339808,-3.025634009,-2.750526897,-2152.874268,-2152.932367,-2152.938999,-2152.861502,9.7465,13.5389,16.9293,9.2397
80,Nc1ccc(-c2cnc(-c3c(F)c(F)c(-c4ncc(-c5ccc(N)cc5)nn4)c(F)c3F)nn2)cc1,0.678583938,-6.058615093,-5.994396222,-2.356506028,-2.221265439,-1760.249418,-1760.286139,-1760.297985,-1760.236327,2.5382,3.1615,3.0139,2.4521
81,N#CC(C#N)=C1C=C(c2ccc(C(=O)c3ccoc3C#N)s2)OC(c2ccc(C(=O)c3ccoc3C#N)s2)=C1,0.339453877,-7.393877804,-6.717130634,-3.804151763,-3.570405957,-2464.30216,-2464.396299,-2464.396558,-2464.289945,7.5175,9.2904,9.098,7.1094
